CVEN,5939,001,B,26517,3,SCD Field Practicum,PRA,04:00 PM,06:30 PM,M,SEECN124,Klees;Rita,30,Main Campus
CVEN,5969,001,B,26927,3,Water; Sanitation; and Hygiene,LEC,04:00 PM,05:15 PM,TTH,SEEC N126,Water;,20,Main Campus
CVEN,5969,002,B,26928,2,Water; Sanitation; and Hygiene,LEC,04:00 PM,05:15 PM,TTH,SEEC N126,Water;,20,Main Campus
CVEN,6393,001,B,25001,1,Water Resources Seminar,SEM,11:00 AM,11:50 AM,W,ECCE1B41,Balaji;Rajagopalan,49,Main Campus
CVEN,6831,001,B,35042,3,Special Topics,LEC,02:00 PM,03:15 PM,TTH,KCEN N252,Song;JeongHoon,27,Main Campus
CVEN,6833,001,B,27036,3,Special Topics,LEC,10:00 AM,11:15 AM,TTH,SEEC C315,Balaji;Rajagopalan,18,Main Campus
CVEN,5969,003,B51,26929,1,Water; Sanitation; and Hygiene,LEC,04:00 PM,05:15 PM,TTH,SEEC N126,Water;,20,Main Campus
CSCI,1300,100,B,26529,4,CS 1: Starting Computing,LEC,09:00 AM,09:50 AM,MWF,HUMN 1B50,,240,Main Campus
CSCI,1300,101,B,26533,4,CS 1: Starting Computing,REC,02:00 PM,03:15 PM,M,ECES112,,48,Main Campus
CSCI,1300,102,B,26534,4,CS 1: Starting Computing,REC,03:30 PM,04:45 PM,M,ECES112,,48,Main Campus
CSCI,1300,103,B,26535,4,CS 1: Starting Computing,REC,08:00 AM,09:15 AM,T,ECES114,,48,Main Campus
CSCI,1300,104,B,26540,4,CS 1: Starting Computing,REC,02:00 PM,03:15 PM,T,ECES114,,48,Main Campus
CSCI,1300,105,B,24947,4,CS 1: Starting Computing,REC,05:00 PM,06:15 PM,T,ECES114,,48,Main Campus
CSCI,1300,200,B,27358,4,CS 1: Starting Computing,LEC,02:00 PM,02:50 PM,MWF,HUMN 1B50,,240,Main Campus
CSCI,1300,201,B,27386,4,CS 1: Starting Computing,REC,05:00 PM,06:15 PM,M,ECES112,,48,Main Campus
CSCI,1300,202,B,27387,4,CS 1: Starting Computing,REC,08:00 AM,09:15 AM,T,ECES112,,48,Main Campus
CSCI,1300,203,B,26482,4,CS 1: Starting Computing,REC,09:30 AM,10:45 AM,T,ECES112,,48,Main Campus
CSCI,1300,204,B,27390,4,CS 1: Starting Computing,REC,02:00 PM,03:15 PM,T,ECCE141,,48,Main Campus
CSCI,1300,300,B,33428,4,CS 1: Starting Computing,LEC,03:00 PM,03:50 PM,MWF,HALE 270,,188,Main Campus
CSCI,1300,301,B,27388,4,CS 1: Starting Computing,REC,11:00 AM,12:15 PM,T,ECES112,,47,Main Campus
CSCI,1300,302,B,27389,4,CS 1: Starting Computing,REC,12:30 PM,01:45 PM,T,ECES112,,47,Main Campus
CSCI,1300,303,B,27391,4,CS 1: Starting Computing,REC,05:00 PM,06:15 PM,T,ECES112,,47,Main Campus
CSCI,1300,304,B,27392,4,CS 1: Starting Computing,REC,04:30 PM,05:45 PM,W,ECES114,,47,Main Campus
CSCI,1300,400,B,36556,4,CS 1: Starting Computing,LEC,08:00 AM,08:50 AM,MWF,RAMY C250,,175,Main Campus
CSCI,1300,402,B,36560,4,CS 1: Starting Computing,REC,04:30 PM,05:45 PM,M,ECES114,,44,Main Campus
CSCI,1320,100,B,26825,4,CS1: Engineering Applications,LEC,08:00 AM,08:50 AM,MWF,MUEN E050,,292,Main Campus
CSCI,1320,102,B,26828,4,CS1: Engineering Applications,REC,08:00 AM,08:50 AM,T,ECCE141,,28,Main Campus
CSCI,1320,103,B,26829,4,CS1: Engineering Applications,REC,11:00 AM,11:50 AM,T,ECCR235,,26,Main Campus
CSCI,1320,104,B,26830,4,CS1: Engineering Applications,REC,12:00 PM,12:50 PM,T,ECCR235,,26,Main Campus
CSCI,1320,105,B,26832,4,CS1: Engineering Applications,REC,09:00 AM,09:50 AM,W,ECCR235,,26,Main Campus
CSCI,1320,106,B,26833,4,CS1: Engineering Applications,REC,10:00 AM,10:50 AM,W,ECCR235,,26,Main Campus
CSCI,1320,109,B,26836,4,CS1: Engineering Applications,REC,11:00 AM,11:50 AM,TH,ECCR235,,26,Main Campus
CSCI,1320,110,B,26837,4,CS1: Engineering Applications,REC,12:00 PM,12:50 PM,TH,ECCR235,,26,Main Campus
CSCI,2270,102,B,26548,4,Comp Sci 2: Data Struct,REC,02:00 PM,03:15 PM,TH,ECES114,,48,Main Campus
CSCI,2270,103,B,26549,4,Comp Sci 2: Data Struct,REC,03:30 PM,04:45 PM,TH,ECES114,,48,Main Campus
CSCI,2270,104,B,26550,4,Comp Sci 2: Data Struct,REC,05:00 PM,06:15 PM,TH,ECES114,,48,Main Campus
CSCI,2270,200,B,27359,4,Comp Sci 2: Data Struct,LEC,03:00 PM,03:50 PM,MWF,MUEN E050,,274,Main Campus
CSCI,2270,201,B,27394,4,Comp Sci 2: Data Struct,REC,08:00 AM,09:15 AM,TH,ECES112,,42,Main Campus
CSCI,2270,202,B,27395,4,Comp Sci 2: Data Struct,REC,09:30 AM,10:45 AM,TH,ECES112,,46,Main Campus
CSCI,2270,203,B,27399,4,Comp Sci 2: Data Struct,REC,11:00 AM,12:15 PM,TH,ECES112,,47,Main Campus
CSCI,2270,204,B,27396,4,Comp Sci 2: Data Struct,REC,12:30 PM,01:45 PM,TH,ECES112,,47,Main Campus
CSCI,2270,205,B,27397,4,Comp Sci 2: Data Struct,REC,02:00 PM,03:15 PM,TH,ECCE141,,46,Main Campus
CSCI,2270,206,B,27398,4,Comp Sci 2: Data Struct,REC,03:30 PM,04:45 PM,TH,ECES112,,46,Main Campus
CSCI,2275,800,B,27986,4,Programming and Data Structure,LEC,11:00 AM,11:50 AM,MWF,ECES 114,,48,Main Campus
CSCI,2400,100,B,24958,4,Computer Systems,LEC,10:00 AM,10:50 AM,MWF,FLMG 155,,192,Main Campus
CSCI,2400,101,B,24959,4,Computer Systems,REC,01:00 PM,01:50 PM,M,ECES112,,48,Main Campus
CSCI,2400,102,B,24960,4,Computer Systems,REC,03:30 PM,04:20 PM,M,ECES114,,48,Main Campus
CSCI,2400,103,B,24992,4,Computer Systems,REC,01:00 PM,01:50 PM,T,ECCE141,,48,Main Campus
CSCI,2400,104,B,24961,4,Computer Systems,REC,05:00 PM,05:50 PM,T,ECCE141,,48,Main Campus
CSCI,2400,200,B,27604,4,Computer Systems,LEC,02:00 PM,03:15 PM,TTH,MATH 100,,240,Main Campus
CSCI,2820,001,B,26727,3,Linear Algebra with CS Apps,LEC,02:00 PM,03:15 PM,TTH,ECCR 1B40,,130,Main Campus
CSCI,2824,001,B,24924,3,Discrete Structures,LEC,09:00 AM,09:50 AM,MWF,FLMG 155,,150,Main Campus
CSCI,2824,002,B,27360,3,Discrete Structures,LEC,11:00 AM,11:50 AM,MWF,HUMN 1B50,,220,Main Campus
CSCI,2830,800,B,27998,1,Special Topics,LEC,05:00 PM,06:15 PM,TH,ECES112,,48,Main Campus
CSCI,2830,801,B,35303,1,Special Topics,LEC,01:00 PM,02:15 PM,F,ECES112,,48,Main Campus
CSCI,3002,100,B,26770,4,Fundamentals of HCI,LEC,11:00 AM,12:15 PM,TTH,FLMG 155,,190,Main Campus
CSCI,3002,101,B,27652,4,Fundamentals of HCI,REC,04:00 PM,04:50 PM,TH,FLMG103,,37,Main Campus
